order date,ship date,sales,profit,discount,region,category,sub-category,order_year,order_month,order_day,profit_ratio
2021-07-18,2021-07-21,1563.79,217.8,0.1,Central,technology,phones,2021,7,18,0.1392770128981513
2022-01-22,2022-01-27,1210.21,295.65,0.1,East,technology,copiers,2022,1,22,0.2442964444187372
2020-03-16,2020-03-18,380.01,-71.62,0.3,West,office supplies,paper,2020,3,16,-0.18846872450724983
2020-01-18,2020-01-19,596.63,228.3,0.1,South,office supplies,binders,2020,1,18,0.38264921308013344
2020-08-15,2020-08-21,415.35,159.96,0.3,East,technology,accessories,2020,8,15,0.38512098230408087
2019-10-09,2019-10-14,911.99,-190.71,0.0,South,technology,phones,2019,10,9,-0.20911413502341036
2020-02-16,2020-02-18,213.39,278.96,0.2,South,office supplies,paper,2020,2,16,1.3072777543465017
2020-02-15,2020-02-18,1820.45,-18.85,0.3,South,technology,phones,2020,2,15,-0.010354582658133979
2021-11-14,2021-11-20,1102.49,-70.6,0.2,West,office supplies,paper,2021,11,14,-0.06403686201235385
2018-07-21,2018-07-27,1854.78,309.09,0.2,South,office supplies,paper,2018,7,21,0.16664510076666775
2021-06-29,2021-06-30,1923.12,391.17,0.0,West,office supplies,storage,2021,6,29,0.20340384375389994
2020-03-02,2020-03-04,1931.21,224.92,0.0,East,technology,phones,2020,3,2,0.1164658426582298
2018-03-06,2018-03-07,1974.04,340.57,0.3,South,furniture,bookcases,2018,3,6,0.17252436627423964
2019-08-16,2019-08-19,1584.55,224.17,0.1,Central,technology,copiers,2019,8,16,0.14147234230538638
2020-11-17,2020-11-18,1254.13,31.63,0.3,Central,office supplies,binders,2020,11,17,0.025220670903335376
2020-03-15,2020-03-18,1190.77,-7.69,0.2,East,technology,accessories,2020,3,15,-0.006458006164078706
2022-01-25,2022-01-28,1526.35,192.89,0.2,West,technology,phones,2022,1,25,0.12637337438988436
2019-01-28,2019-01-30,70.33,-124.48,0.2,South,technology,copiers,2019,1,28,-1.7699417033982654
2019-07-18,2019-07-23,1026.97,435.3,0.2,Central,technology,phones,2019,7,18,0.42386827268566757
2021-04-09,2021-04-14,473.02,-146.11,0.2,Central,furniture,bookcases,2021,4,9,-0.30888757346412415
2019-11-13,2019-11-18,605.35,-126.15,0.3,South,office supplies,paper,2019,11,13,-0.2083918394317337
2021-09-16,2021-09-18,261.73,49.41,0.1,East,office supplies,paper,2021,9,16,0.1887823329385244
2021-07-30,2021-08-05,21.03,46.8,0.2,Central,furniture,chairs,2021,7,30,2.2253922967189728
2019-10-11,2019-10-17,459.77,-116.09,0.3,South,office supplies,storage,2019,10,11,-0.2524958131239533
2021-10-29,2021-10-30,819.6,-154.58,0.1,South,technology,copiers,2021,10,29,-0.18860419716935092
2021-11-10,2021-11-13,615.74,-0.61,0.0,Central,office supplies,storage,2021,11,10,-0.000990677883522266
2019-10-04,2019-10-08,121.93,-4.95,0.0,East,furniture,tables,2019,10,4,-0.04059706388911671
2021-02-27,2021-03-04,989.12,489.96,0.3,Central,technology,accessories,2021,2,27,0.4953494014881915
2021-04-22,2021-04-25,499.48,362.2,0.0,South,technology,copiers,2021,4,22,0.7251541603267397
2020-09-08,2020-09-11,1636.54,358.84,0.0,South,office supplies,paper,2020,9,8,0.219267478949491
2019-04-09,2019-04-14,1719.55,28.17,0.3,Central,technology,accessories,2019,4,9,0.01638219301561455
2018-05-27,2018-05-31,1297.44,-77.94,0.0,South,office supplies,storage,2018,5,27,-0.06007214206437291
2020-05-21,2020-05-22,1357.87,314.65,0.1,Central,technology,accessories,2020,5,21,0.23172321356241762
2021-08-14,2021-08-17,472.53,-77.53,0.3,East,technology,accessories,2021,8,14,-0.16407423867267687
2020-06-15,2020-06-21,1796.49,430.29,0.2,Central,furniture,tables,2020,6,15,0.23951705826361405
2021-01-27,2021-01-30,1457.39,427.98,0.3,West,furniture,chairs,2021,1,27,0.29366195733468736
2021-12-14,2021-12-20,1344.6,206.48,0.3,West,furniture,bookcases,2021,12,14,0.15356239773910457
2018-06-02,2018-06-07,582.16,13.75,0.1,West,furniture,bookcases,2018,6,2,0.02361893637487976
2018-06-10,2018-06-14,489.75,27.78,0.3,South,technology,phones,2018,6,10,0.05672281776416539
2019-02-05,2019-02-06,1094.23,156.17,0.1,Central,technology,copiers,2019,2,5,0.14272136570922017
2018-02-07,2018-02-13,798.33,424.43,0.2,Central,office supplies,paper,2018,2,7,0.5316473137674896
2020-03-08,2020-03-09,1162.27,144.76,0.0,South,office supplies,binders,2020,3,8,0.12454937320932313
2019-07-01,2019-07-02,106.34,496.19,0.1,East,furniture,bookcases,2019,7,1,4.6660710927214595
2019-06-02,2019-06-05,1500.48,467.15,0.0,East,office supplies,binders,2019,6,2,0.3113337065472382
2019-08-30,2019-09-02,1961.06,-147.26,0.0,East,office supplies,binders,2019,8,30,-0.07509204205888652
2021-07-03,2021-07-06,355.6,189.76,0.2,West,technology,phones,2021,7,3,0.5336332958380202
2019-11-17,2019-11-19,1237.71,493.04,0.1,Central,office supplies,storage,2019,11,17,0.39834856307212513
2021-11-10,2021-11-12,1486.72,287.91,0.2,West,technology,accessories,2021,11,10,0.19365448773138186
2020-01-29,2020-01-31,1624.02,406.95,0.0,South,technology,phones,2020,1,29,0.2505818893855987
2018-02-05,2018-02-10,404.66,-150.34,0.1,South,office supplies,storage,2018,2,5,-0.37152177136361386
2019-04-16,2019-04-20,1166.15,106.93,0.2,West,office supplies,storage,2019,4,16,0.09169489345281481
2019-07-29,2019-08-04,587.35,213.58,0.1,East,technology,phones,2019,7,29,0.36363326806844304
2020-12-13,2020-12-16,271.58,165.57,0.0,South,office supplies,paper,2020,12,13,0.6096546137418072
2021-05-04,2021-05-10,122.33,171.95,0.2,Central,furniture,bookcases,2021,5,4,1.4056241314477234
2019-01-05,2019-01-09,1434.9,-171.25,0.3,Central,technology,phones,2019,1,5,-0.11934629590912257
2021-10-01,2021-10-06,384.98,-143.39,0.2,East,technology,accessories,2021,10,1,-0.372460907060107
2020-12-17,2020-12-19,329.75,-24.83,0.1,West,furniture,chairs,2020,12,17,-0.07529946929492039
2020-06-15,2020-06-20,1481.04,188.05,0.1,East,furniture,chairs,2020,6,15,0.12697158753308488
2021-01-04,2021-01-06,724.83,330.49,0.0,East,technology,copiers,2021,1,4,0.45595518949270863
2020-12-06,2020-12-07,636.6,485.66,0.0,South,office supplies,binders,2020,12,6,0.7628966383914546
2019-03-08,2019-03-13,957.47,-78.76,0.1,East,office supplies,paper,2019,3,8,-0.08225845196194137
2019-06-06,2019-06-12,1277.49,-168.29,0.2,West,technology,accessories,2019,6,6,-0.13173488637875833
2019-03-18,2019-03-19,1087.97,278.77,0.3,South,office supplies,storage,2019,3,18,0.25622949162201164
2019-05-12,2019-05-16,1179.84,458.16,0.3,South,technology,accessories,2019,5,12,0.38832384052074864
2019-01-15,2019-01-16,927.34,181.93,0.0,South,office supplies,storage,2019,1,15,0.19618478659391378
2021-12-11,2021-12-13,429.24,-8.23,0.3,Central,technology,phones,2021,12,11,-0.019173422793775045
2021-06-30,2021-07-03,1244.14,35.59,0.1,South,office supplies,paper,2021,6,30,0.028606105422219363
2020-08-27,2020-08-29,694.44,-17.51,0.2,South,furniture,tables,2020,8,27,-0.02521456137319279
2021-01-03,2021-01-08,97.59,92.56,0.0,East,office supplies,binders,2021,1,3,0.9484578337944461
2019-04-02,2019-04-05,1981.2,88.83,0.1,East,office supplies,binders,2019,4,2,0.04483646274984857
2021-04-28,2021-05-03,492.42,275.89,0.2,East,technology,copiers,2021,4,28,0.5602737500507696
2021-07-20,2021-07-21,1020.4,378.52,0.1,East,technology,phones,2021,7,20,0.37095256762054096
2018-06-26,2018-06-30,41.46,433.77,0.3,East,technology,copiers,2018,6,26,10.462373371924746
2020-01-05,2020-01-09,1155.41,242.29,0.0,East,technology,accessories,2020,1,5,0.20970045265317072
2020-08-05,2020-08-08,441.2,462.34,0.3,East,technology,phones,2020,8,5,1.0479147778785132
2020-12-01,2020-12-03,133.97,184.67,0.0,Central,technology,phones,2020,12,1,1.3784429349854443
2018-08-23,2018-08-26,251.79,-99.91,0.1,West,technology,phones,2018,8,23,-0.39679891973469955
2021-06-07,2021-06-13,1407.92,-149.07,0.1,Central,furniture,chairs,2021,6,7,-0.1058795954315586
2018-01-29,2018-02-03,481.79,206.91,0.0,East,office supplies,paper,2018,1,29,0.42946096847174076
2019-05-26,2019-05-27,1191.94,45.15,0.3,Central,office supplies,binders,2019,5,26,0.037879423460912456
2020-05-25,2020-05-31,1416.07,-25.89,0.2,Central,technology,phones,2020,5,25,-0.018282994484735925
2018-06-22,2018-06-27,822.3,200.03,0.3,South,office supplies,storage,2018,6,22,0.2432567189590174
2021-10-16,2021-10-17,1368.46,-33.75,0.0,Central,furniture,bookcases,2021,10,16,-0.02466275959838066
2020-04-03,2020-04-04,462.72,474.26,0.3,East,furniture,chairs,2020,4,3,1.0249394882434302
2020-03-25,2020-03-30,105.93,447.25,0.3,East,furniture,chairs,2020,3,25,4.222127820258661
2022-01-04,2022-01-06,349.11,-48.23,0.2,Central,technology,copiers,2022,1,4,-0.13815129901750164
2021-07-06,2021-07-07,1832.2,471.09,0.3,South,furniture,chairs,2021,7,6,0.2571171269512062
2020-10-28,2020-10-30,392.48,124.59,0.1,South,office supplies,binders,2020,10,28,0.3174429270281288
2018-02-10,2018-02-14,1972.7,288.71,0.0,East,office supplies,binders,2018,2,10,0.14635271455365742
2019-04-06,2019-04-10,556.5,-106.77,0.2,East,furniture,chairs,2019,4,6,-0.1918598382749326
2020-06-01,2020-06-06,1234.56,92.77,0.3,West,office supplies,paper,2020,6,1,0.0751441809227579
2020-05-26,2020-05-31,72.21,63.52,0.0,West,office supplies,storage,2020,5,26,0.879656557263537
2020-05-02,2020-05-04,774.16,478.94,0.2,East,technology,phones,2020,5,2,0.618657641831146
2018-04-15,2018-04-18,285.03,-190.43,0.2,West,furniture,chairs,2018,4,15,-0.6681051117426237
2020-02-10,2020-02-15,1178.6,308.28,0.1,West,furniture,chairs,2020,2,10,0.26156456813168166
2021-01-13,2021-01-19,425.99,-23.99,0.0,East,technology,phones,2021,1,13,-0.05631587595952956
2020-05-30,2020-06-01,729.16,-120.51,0.1,West,office supplies,binders,2020,5,30,-0.1652723682045093
2018-04-28,2018-05-01,1049.92,396.53,0.1,South,office supplies,paper,2018,4,28,0.3776763943919536
2020-02-02,2020-02-03,1188.11,136.03,0.2,Central,furniture,tables,2020,2,2,0.11449276582134651
2019-08-01,2019-08-04,441.67,-104.54,0.3,West,furniture,chairs,2019,8,1,-0.23669255326374897
2018-04-08,2018-04-10,796.64,106.23,0.2,West,office supplies,paper,2018,4,8,0.13334755975095403
2020-09-10,2020-09-14,609.96,166.52,0.0,East,furniture,tables,2020,9,10,0.2730015082956259
2018-07-03,2018-07-04,994.39,-19.23,0.3,East,furniture,tables,2018,7,3,-0.01933848892285723
2018-02-22,2018-02-24,670.93,243.38,0.3,Central,office supplies,paper,2018,2,22,0.36275021239175476
2020-01-31,2020-02-03,294.88,248.61,0.3,South,technology,copiers,2020,1,31,0.8430887140531742
2021-05-03,2021-05-06,1341.76,-79.38,0.1,Central,furniture,bookcases,2021,5,3,-0.05916110183639399
2020-10-25,2020-10-27,571.61,-76.09,0.0,West,technology,phones,2020,10,25,-0.13311523591259775
2018-08-21,2018-08-25,428.54,54.99,0.1,West,furniture,chairs,2018,8,21,0.12831941009007328
2021-01-01,2021-01-03,1602.83,239.53,0.2,South,furniture,bookcases,2021,1,1,0.14944192459587105
2020-04-10,2020-04-15,25.14,407.81,0.3,East,office supplies,storage,2020,4,10,16.22155926809865
2019-12-20,2019-12-26,487.51,331.97,0.1,South,technology,phones,2019,12,20,0.6809501343562184
2019-10-28,2019-11-03,312.52,-106.82,0.2,Central,office supplies,binders,2019,10,28,-0.3418021246640215
2018-12-29,2019-01-02,232.2,113.19,0.2,Central,technology,accessories,2018,12,29,0.487467700258398
2019-04-30,2019-05-04,59.74,25.46,0.2,West,technology,phones,2019,4,30,0.42618011382658183
2020-03-22,2020-03-23,1783.24,215.51,0.3,West,office supplies,paper,2020,3,22,0.12085305399161077
2018-04-19,2018-04-21,192.1,175.97,0.1,Central,technology,phones,2018,4,19,0.9160333159812598
2019-03-01,2019-03-06,738.9,252.14,0.1,Central,furniture,bookcases,2019,3,1,0.341236973880092
2021-11-01,2021-11-02,34.92,-42.27,0.1,Central,technology,phones,2021,11,1,-1.2104810996563575
2022-01-09,2022-01-15,1615.61,-161.04,0.0,Central,office supplies,storage,2022,1,9,-0.0996775211839491
2019-06-27,2019-07-02,1965.11,-121.57,0.1,South,technology,copiers,2019,6,27,-0.06186422134129896
2019-10-08,2019-10-14,530.65,-80.38,0.2,West,technology,copiers,2019,10,8,-0.15147460661452936
2020-04-26,2020-04-29,1151.79,-4.01,0.3,East,furniture,tables,2020,4,26,-0.0034815374330390086
2021-02-15,2021-02-19,862.36,155.33,0.0,South,office supplies,paper,2021,2,15,0.18012199081590055
2018-03-31,2018-04-06,591.49,206.87,0.2,Central,technology,phones,2018,3,31,0.34974386718287714
2018-09-16,2018-09-17,751.08,117.99,0.0,Central,furniture,bookcases,2018,9,16,0.15709378494967247
2018-01-13,2018-01-15,193.98,-102.82,0.0,East,office supplies,paper,2018,1,13,-0.5300546448087432
2020-06-29,2020-07-05,835.45,44.21,0.0,East,furniture,bookcases,2020,6,29,0.052917589323119275
2018-11-30,2018-12-05,1467.12,456.84,0.3,Central,office supplies,paper,2018,11,30,0.31138557173237363
2021-08-12,2021-08-18,115.23,347.06,0.2,East,technology,phones,2021,8,12,3.011889264948364
2020-03-08,2020-03-11,345.25,370.2,0.2,West,furniture,tables,2020,3,8,1.0722664735698768
2018-05-12,2018-05-13,1756.86,74.71,0.3,South,office supplies,paper,2018,5,12,0.04252473162346459
2020-03-10,2020-03-13,1255.72,177.85,0.2,Central,technology,accessories,2020,3,10,0.14163189246010258
2018-05-25,2018-05-26,795.13,172.3,0.0,South,furniture,chairs,2018,5,25,0.21669412548891379
2018-07-17,2018-07-23,678.98,311.38,0.1,South,technology,copiers,2018,7,17,0.4585996642021856
2021-08-05,2021-08-09,1488.09,201.21,0.0,West,technology,copiers,2021,8,5,0.13521359595185775
2020-10-17,2020-10-22,1561.57,-99.81,0.3,West,furniture,chairs,2020,10,17,-0.06391644306691344
2019-06-01,2019-06-04,1514.18,-127.96,0.0,Central,office supplies,paper,2019,6,1,-0.08450778639263495
2018-08-04,2018-08-08,806.63,358.11,0.0,East,technology,phones,2018,8,4,0.44395819644694595
2018-05-10,2018-05-13,1289.47,285.76,0.3,West,technology,phones,2018,5,10,0.22161042909102188
2018-03-10,2018-03-14,379.56,435.92,0.1,West,technology,copiers,2018,3,10,1.1484877226261987
2018-12-12,2018-12-18,1237.6,438.3,0.3,West,technology,copiers,2018,12,12,0.35415319974143505
2020-09-19,2020-09-23,1194.07,-128.45,0.3,South,office supplies,binders,2020,9,19,-0.10757325784920482
2018-05-07,2018-05-09,1547.07,62.1,0.0,West,furniture,chairs,2018,5,7,0.04014039442300607
2022-01-25,2022-01-26,1852.63,115.59,0.1,East,technology,phones,2022,1,25,0.06239238272078072
2019-02-24,2019-03-02,1678.23,32.5,0.1,Central,furniture,tables,2019,2,24,0.019365641181482873
2019-10-23,2019-10-24,1493.61,-56.09,0.0,East,technology,copiers,2019,10,23,-0.0375533104357898
2019-07-29,2019-08-02,1084.04,443.9,0.1,Central,office supplies,binders,2019,7,29,0.4094867348068337
2019-02-22,2019-02-25,915.39,-42.78,0.3,Central,office supplies,storage,2019,2,22,-0.04673417887457805
2019-10-26,2019-10-27,1006.77,93.25,0.3,East,technology,accessories,2019,10,26,0.09262294267806948
2018-03-04,2018-03-07,1271.88,-190.83,0.0,East,furniture,chairs,2018,3,4,-0.15003773940937823
2021-01-12,2021-01-13,314.35,90.24,0.3,Central,technology,phones,2021,1,12,0.28706855415937643
2018-11-23,2018-11-24,633.68,78.12,0.2,Central,furniture,chairs,2018,11,23,0.12327988890291632
2018-02-01,2018-02-07,397.56,-174.42,0.1,South,technology,accessories,2018,2,1,-0.43872623000301836
2020-02-08,2020-02-14,1433.84,169.35,0.1,South,technology,accessories,2020,2,8,0.11810941248674887
2021-05-30,2021-06-05,1535.41,-127.91,0.3,East,furniture,tables,2021,5,30,-0.08330673891664116
2020-03-10,2020-03-12,556.07,250.8,0.3,East,technology,copiers,2020,3,10,0.4510223533008434
2022-02-08,2022-02-10,1736.65,85.59,0.0,Central,technology,copiers,2022,2,8,0.04928454207813895
2019-03-19,2019-03-24,1198.2,37.49,0.0,Central,technology,copiers,2019,3,19,0.03128859956601569
2020-10-03,2020-10-05,1614.52,492.11,0.3,South,technology,phones,2020,10,3,0.3048026658077943
2019-03-28,2019-04-01,1342.81,-56.51,0.2,Central,office supplies,storage,2019,3,28,-0.04208339228930377
2018-11-26,2018-11-27,431.61,-181.43,0.0,Central,office supplies,storage,2018,11,26,-0.42035634021454554
2019-05-29,2019-05-30,1638.54,39.27,0.1,Central,furniture,tables,2019,5,29,0.02396645794426746
2019-04-16,2019-04-20,1664.7,41.63,0.3,West,office supplies,storage,2019,4,16,0.025007508860455337
2020-12-12,2020-12-16,454.63,482.18,0.3,South,furniture,tables,2020,12,12,1.0605987286364735
2021-03-27,2021-03-30,1791.21,359.9,0.0,West,furniture,tables,2021,3,27,0.20092563127718133
2019-06-10,2019-06-11,1092.44,243.43,0.2,East,technology,phones,2019,6,10,0.22283145985134195
2021-06-12,2021-06-18,1969.12,167.98,0.0,West,office supplies,paper,2021,6,12,0.08530714227675307
2018-03-16,2018-03-22,1830.31,-117.57,0.3,East,technology,phones,2018,3,16,-0.06423502029710813
2020-11-06,2020-11-11,1309.81,380.82,0.2,East,office supplies,paper,2020,11,6,0.29074445912002506
2018-01-27,2018-01-28,547.67,312.53,0.1,South,office supplies,paper,2018,1,27,0.5706538609016378
2020-03-31,2020-04-02,1830.54,93.14,0.3,West,furniture,chairs,2020,3,31,0.05088116075037967
2018-05-10,2018-05-14,1918.08,-70.94,0.0,South,office supplies,paper,2018,5,10,-0.036984901568234904
2018-01-29,2018-02-03,1677.42,106.04,0.3,East,technology,accessories,2018,1,29,0.06321612953225787
2020-01-14,2020-01-17,1899.63,77.65,0.3,West,technology,copiers,2020,1,14,0.04087638119002122
2021-08-28,2021-08-29,554.42,177.89,0.2,Central,office supplies,binders,2021,8,28,0.3208578334114931
2020-08-15,2020-08-18,1201.75,33.97,0.1,West,technology,phones,2020,8,15,0.0282671104639068
2019-12-14,2019-12-15,837.33,293.45,0.3,West,furniture,chairs,2019,12,14,0.35045919768788886
2018-05-11,2018-05-13,1602.84,286.29,0.1,West,furniture,bookcases,2018,5,11,0.1786142097776447
2020-12-03,2020-12-06,1836.28,-104.23,0.1,East,office supplies,storage,2020,12,3,-0.05676149606813776
2018-01-12,2018-01-18,1917.18,330.87,0.2,East,technology,phones,2018,1,12,0.1725816042312146
2019-01-09,2019-01-15,1961.54,432.35,0.3,Central,furniture,bookcases,2019,1,9,0.2204135526168215
2019-05-04,2019-05-09,1346.44,-169.08,0.3,Central,technology,accessories,2019,5,4,-0.12557559193131518
2020-09-07,2020-09-13,1832.67,-176.24,0.0,Central,furniture,bookcases,2020,9,7,-0.09616570359093563
2019-11-19,2019-11-21,855.09,356.74,0.2,West,furniture,bookcases,2019,11,19,0.417195850729163
2019-02-06,2019-02-09,1661.25,-174.09,0.2,South,technology,copiers,2019,2,6,-0.10479458239277653
2021-01-26,2021-01-29,1398.65,37.91,0.2,Central,technology,phones,2021,1,26,0.027104708111393126
2019-05-12,2019-05-16,1585.63,23.13,0.1,East,technology,copiers,2019,5,12,0.014587261845449442
2021-02-05,2021-02-11,846.66,123.36,0.1,West,furniture,tables,2021,2,5,0.14570193466090284
2021-03-10,2021-03-12,1879.35,359.15,0.2,West,technology,copiers,2021,3,10,0.19110330699443956
2019-04-22,2019-04-28,970.15,239.25,0.3,South,furniture,tables,2019,4,22,0.24661134876050095
2018-09-23,2018-09-29,847.18,94.95,0.0,East,technology,phones,2018,9,23,0.11207771665997782
2018-01-03,2018-01-08,722.15,1.07,0.3,West,office supplies,binders,2018,1,3,0.0014816866302014818
2019-03-08,2019-03-09,1822.47,-168.43,0.2,East,office supplies,binders,2019,3,8,-0.09241853089488442
2018-03-02,2018-03-07,197.03,92.31,0.3,Central,furniture,bookcases,2018,3,2,0.4685073339085419
2020-12-21,2020-12-26,1978.59,320.35,0.3,Central,office supplies,storage,2020,12,21,0.16190822757620327
2021-08-26,2021-08-31,1664.67,-115.76,0.2,West,furniture,bookcases,2021,8,26,-0.06953930809109313
2020-07-25,2020-07-26,1915.4,378.34,0.0,East,furniture,tables,2020,7,25,0.19752532108175835
2019-12-28,2019-12-29,1046.16,218.09,0.0,East,office supplies,storage,2019,12,28,0.2084671560755525
2019-02-23,2019-02-25,992.55,497.44,0.2,South,technology,accessories,2019,2,23,0.5011737443957484
2020-02-20,2020-02-25,1083.21,215.06,0.1,East,technology,accessories,2020,2,20,0.19853952603834898
2020-08-09,2020-08-12,560.46,133.67,0.2,East,office supplies,storage,2020,8,9,0.2385005174321093
2019-06-05,2019-06-06,1110.7,-139.11,0.3,South,office supplies,paper,2019,6,5,-0.12524534077608715
2018-11-24,2018-11-27,1452.37,147.11,0.1,East,technology,accessories,2018,11,24,0.10128961628235231
2020-08-30,2020-08-31,141.8,418.03,0.1,East,furniture,chairs,2020,8,30,2.9480253878702394
2021-09-08,2021-09-10,1096.68,405.15,0.0,West,technology,accessories,2021,9,8,0.36943319838056676
2019-07-25,2019-07-28,337.59,33.81,0.0,East,technology,phones,2019,7,25,0.10015107082555764
2018-12-22,2018-12-25,1510.38,-88.98,0.2,East,furniture,tables,2018,12,22,-0.05891232669924125
2020-11-20,2020-11-22,275.16,34.58,0.1,Central,office supplies,binders,2020,11,20,0.12567233609536269
2018-12-22,2018-12-24,1667.63,155.23,0.2,West,technology,accessories,2018,12,22,0.09308419733394097
2021-02-10,2021-02-11,1270.99,-18.14,0.3,South,furniture,tables,2021,2,10,-0.014272338885435764
2020-10-04,2020-10-10,581.02,-187.1,0.0,South,furniture,bookcases,2020,10,4,-0.32201989604488657
2021-12-06,2021-12-10,375.4,327.59,0.1,South,office supplies,storage,2021,12,6,0.8726425146510389
2018-07-11,2018-07-12,1546.55,296.0,0.1,East,office supplies,storage,2018,7,11,0.19139374737318549
2021-02-17,2021-02-20,1707.78,493.1,0.2,East,office supplies,paper,2021,2,17,0.2887374251952828
2020-08-05,2020-08-10,779.55,-154.06,0.0,West,technology,copiers,2020,8,5,-0.1976268359951254
2020-08-04,2020-08-07,1372.92,112.13,0.1,West,technology,copiers,2020,8,4,0.08167263933805319
2021-01-27,2021-02-01,1711.34,168.92,0.0,East,furniture,chairs,2021,1,27,0.09870627695256348
2020-08-31,2020-09-04,1315.93,-8.72,0.0,West,technology,accessories,2020,8,31,-0.006626492290623362
2018-10-30,2018-11-04,1284.28,78.32,0.0,East,furniture,chairs,2018,10,30,0.060983586133864884
2021-07-04,2021-07-06,1790.32,-39.03,0.0,Central,technology,copiers,2021,7,4,-0.02180057196478842
2020-03-02,2020-03-06,1134.25,130.07,0.2,South,furniture,chairs,2020,3,2,0.1146748953052678
2021-08-25,2021-08-28,1692.67,332.72,0.2,East,office supplies,binders,2021,8,25,0.1965651899070699
2020-06-17,2020-06-21,1597.14,137.07,0.1,Central,furniture,tables,2020,6,17,0.08582215710582665
2021-06-13,2021-06-17,872.01,-59.63,0.0,South,furniture,tables,2021,6,13,-0.06838224332289768
2020-10-10,2020-10-15,552.61,358.29,0.2,South,technology,accessories,2020,10,10,0.6483596026130545
2018-03-13,2018-03-18,163.44,74.75,0.1,Central,furniture,chairs,2018,3,13,0.4573543808125306
2018-01-11,2018-01-16,1518.98,466.85,0.0,South,technology,accessories,2018,1,11,0.30734440216461045
2021-01-16,2021-01-17,499.25,490.66,0.3,Central,technology,accessories,2021,1,16,0.9827941912869305
2018-04-02,2018-04-06,705.11,343.06,0.1,South,office supplies,paper,2018,4,2,0.4865340159691396
2018-08-13,2018-08-14,1767.42,-142.24,0.0,South,furniture,tables,2018,8,13,-0.08047889013364112
2021-01-31,2021-02-02,1955.38,-59.4,0.1,West,office supplies,paper,2021,1,31,-0.03037772709140934
2018-04-16,2018-04-20,227.04,245.5,0.2,Central,technology,accessories,2018,4,16,1.08130725863284
2020-02-13,2020-02-14,122.9,178.91,0.1,South,office supplies,binders,2020,2,13,1.4557363710333604
2021-01-12,2021-01-18,1232.27,139.08,0.2,South,office supplies,paper,2021,1,12,0.1128648753925682
2018-01-22,2018-01-24,972.19,-171.47,0.3,West,office supplies,paper,2018,1,22,-0.17637498842818788
2020-09-04,2020-09-10,1194.69,255.21,0.0,East,office supplies,storage,2020,9,4,0.21362026969339326
2021-03-16,2021-03-22,687.05,-72.52,0.2,East,technology,accessories,2021,3,16,-0.10555272542027509
2020-07-02,2020-07-05,472.34,497.43,0.0,Central,technology,copiers,2020,7,2,1.0531185163229877
2020-01-25,2020-01-28,456.71,92.88,0.2,East,technology,accessories,2020,1,25,0.2033675636618423
2020-05-11,2020-05-16,1459.79,319.89,0.3,East,technology,phones,2020,5,11,0.21913425903725878
2020-08-04,2020-08-05,888.46,307.68,0.3,South,office supplies,paper,2020,8,4,0.3463070931724557
2021-12-12,2021-12-16,855.01,-6.22,0.2,West,office supplies,storage,2021,12,12,-0.007274768716155367
2021-07-15,2021-07-18,1253.47,242.09,0.2,East,office supplies,binders,2021,7,15,0.1931358548668895
2018-04-10,2018-04-16,375.77,-33.72,0.1,West,technology,accessories,2018,4,10,-0.08973574260851053
2020-04-16,2020-04-22,994.71,-26.94,0.3,East,technology,phones,2020,4,16,-0.027083270500950028
2019-05-19,2019-05-20,1331.99,-133.32,0.0,Central,technology,accessories,2019,5,19,-0.10009084152283425
2018-01-28,2018-01-30,1718.81,-193.68,0.0,South,furniture,chairs,2018,1,28,-0.11268261180700602
2021-08-19,2021-08-22,1769.75,109.42,0.3,West,furniture,bookcases,2021,8,19,0.06182794179968922
2020-04-23,2020-04-29,308.6,114.6,0.3,Central,furniture,tables,2020,4,23,0.3713545042125729
